Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Julius Adams,35,NWE,RDE,16,16,0,0,0,0,,0,1,0,0,8.0,,0,
John Anderson,27,GNB,LOLB,16,16,5,54,1,27,,0,1,0,0,4.5,,0,
George Andrews,28,RAM,ROLB,16,16,1,22,0,22,,0,0,0,0,3.0,,0,
William Andrews,28,ATL,RB,16,16,0,0,0,0,,6,2,0,0,0.0,,0,PB
Al Baker,27,STL,LDE,16,16,2,24,0,19,,0,2,0,0,13.0,,0,
Jesse Baker,26,HOU,RDE,16,16,0,0,0,0,,0,0,0,0,5.5,,0,
Ron Baker,29,PHI,RG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Chip Banks,24,CLE,LOLB,16,16,3,95,1,65,,0,1,0,0,4.0,,0,"PB,AP-1,AP DPoY-5"
Mike Barber,30,RAM,TE,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Bob Baumhower,28,MIA,NT,16,16,0,0,0,0,,0,1,0,0,8.0,,0,"PB,AP-1"
Mike Bell,26,KAN,RDE,16,16,0,0,0,0,,0,1,0,0,10.0,,0,
Doug Betters,27,MIA,LDE,16,16,0,0,0,0,,0,4,0,0,16.0,,0,"PB,AP-1,AP DPoY-1"
Gregg Bingham,32,HOU,LILB,16,16,1,4,0,4,,0,2,0,0,0.0,,0,
Keith Bishop,26,DEN,LG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Glenn Blackwood,26,MIA,SS,16,16,3,0,0,0,,0,4,0,0,1.0,,0,
Lyle Blackwood,32,MIA,FS,16,16,4,77,0,45,,0,0,0,0,0.0,,0,
Matt Blair,33,MIN,LOLB,16,16,1,0,0,0,,0,2,0,0,4.5,,0,
Mel Blount,35,PIT,RCB,16,16,4,32,0,21,,0,1,3,1,0.0,,0,
Jeff Bostic,25,WAS,C,16,16,0,0,0,0,,0,3,0,0,0.0,,0,PB
Charles Bowser,24,MIA,ROLB,16,16,0,0,0,0,,0,0,0,0,6.5,,0,
Greg Bracelin,26,BAL,LOLB,16,16,2,19,0,19,,0,0,0,0,5.5,,0,
Robert Brazile,30,HOU,ROLB,16,16,0,0,0,0,,0,3,0,0,2.5,,0,
Bob Breunig,30,DAL,MLB,16,16,1,0,0,0,,0,1,0,0,0.0,,0,
Stan Brock,25,NOR,RT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Dave Brown,30,SEA,RCB,16,16,6,83,0,37,,1,3,0,0,0.0,,0,
Bob Brudzinski,28,MIA,LOLB,16,16,0,0,0,0,,0,1,0,0,1.0,,0,
Jeff Bryant,23,SEA,RDE,16,16,0,0,0,0,,0,1,0,0,8.0,,0,
Jim Burroughs,25,BAL,LCB,16,16,2,8,0,8,,0,1,0,0,0.0,,0,
Bobby Butler,24,ATL,LCB,16,16,4,12,0,12,,0,1,0,0,0.0,,0,
Keith Butler,27,SEA,RILB,16,16,1,0,0,0,,0,0,0,0,0.0,,0,
Dave Butz,33,WAS,LDT,16,16,0,0,0,0,,0,1,0,0,11.5,,0,"PB,AP-1,AP DPoY-3"
Glenn Cameron,30,CIN,RILB,16,16,0,0,0,0,,0,1,1,0,2.0,,0,
Reggie Camp,22,CLE,LDE,16,16,0,0,0,0,,0,0,0,0,4.5,,0,
Carlos Carson,25,KAN,WR,16,16,0,0,0,0,,2,0,0,0,0.0,,0,PB
David Carter,30,HOU,C,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Deron Cherry,24,KAN,FS,16,16,7,100,0,41,,2,2,4,0,1.5,,0,"PB,AP-2"
Todd Christensen,27,RAI,TE,16,16,0,0,0,0,,1,1,0,0,0.0,,0,"PB,AP-1"
Ken Clarke,27,PHI,NT,16,16,0,0,0,0,,0,3,5,0,1.0,,0,
Paul Coffman,27,GNB,TE,16,16,0,0,0,0,,1,0,0,0,0.0,,0,PB
Robin Cole,28,PIT,ROLB,16,16,0,0,0,0,,0,2,20,0,5.0,,0,
Tony Collins,24,NWE,RB,16,16,0,0,0,0,,10,2,0,0,0.0,,0,PB
Tom Cousineau,26,CLE,RILB,16,16,4,47,0,15,,0,2,14,0,4.0,,0,
Jimbo Covert,23,CHI,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Joe Cribbs,25,BUF,RB,16,16,0,0,0,0,,6,1,0,0,0.0,,0,PB
Nolan Cromwell,28,RAM,SS,16,16,3,76,1,43,,0,2,0,0,0.0,,0,PB
Bennie Cunningham,29,PIT,TE,16,16,0,0,0,0,,4,1,0,0,0.0,,0,
Buddy Curry,25,ATL,RLB,16,16,0,0,0,0,,0,1,0,0,4.0,,0,
Isaac Curtis,33,CIN,WR,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Dave Dalby,33,RAI,C,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Bruce Davis,27,RAI,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Mike Davis,27,RAI,SS,16,16,1,3,0,3,,0,2,0,0,2.0,,0,
Anthony Dickerson,26,DAL,RLB,16,16,1,8,0,8,,0,3,0,0,10.5,,1,
Eric Dickerson,23,RAM,RB,16,16,0,0,0,0,,13,1,0,0,0.0,,0,"PB,AP-1,AP MVP-2,AP OPoY-2,AP ORoY-1"
Curtis Dickey,27,BAL,RB,16,16,0,0,0,0,,9,1,0,0,0.0,,0,
Lynn Dickey,34,GNB,QB,16,16,0,0,0,0,,9,6,0,0,0.0,,0,"AP MVP-5,AP OPoY-6"
Chris Dieterich,25,DET,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Ray Donaldson,25,BAL,C,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Tony Dorsett,29,DAL,RB,16,16,0,0,0,0,,5,1,0,0,0.0,,0,"PB,AP-2"
Reggie Doss,27,RAM,RDE,16,16,0,0,0,0,,0,1,0,0,5.0,,0,
Michael Downs,24,DAL,FS,16,16,4,80,0,28,,0,2,10,1,1.5,,0,
John Dutton,32,DAL,LDT,16,16,0,0,0,0,,0,1,0,0,4.5,,0,
Eddie Edwards,29,CIN,LDE,16,16,0,0,0,0,,0,1,0,0,13.0,,0,
Herm Edwards,29,PHI,RCB,16,16,1,0,0,0,,0,0,0,0,0.0,,0,
Carl Ekern,29,RAM,LILB,16,16,1,1,0,1,,0,2,0,0,0.0,,0,
Ron Essink,25,SEA,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Keith Fahnhorst,31,SFO,RT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Ken Fantetti,26,DET,MLB,16,16,2,0,0,0,,0,1,0,0,1.0,,0,
Joe Ferguson,33,BUF,QB,16,16,0,0,0,0,,3,3,0,0,0.0,,0,
Keith Ferguson,24,SDG,LDE,16,16,0,0,0,0,,0,2,0,0,5.0,,0,
Vince Ferragamo,29,RAM,QB,16,16,0,0,0,0,,8,2,0,0,0.0,,0,
Russ Francis,30,SFO,TE,16,16,0,0,0,0,,2,0,0,0,0.0,,0,
Leslie Frazier,24,CHI,RCB,16,16,7,135,1,58,,0,1,3,0,0.0,,0,
Steve Freeman,30,BUF,FS/SS,16,16,3,40,0,29,,0,2,31,0,0.0,,0,
Mark Gastineau,27,NYJ,LDE,16,16,0,0,0,0,,0,2,0,1,19.0,,0,"PB,AP-1,AP DPoY-7"
Bob Golic,26,CLE,NT,16,16,1,7,1,7,,0,0,0,0,3.5,,0,
Randy Gradishar,31,DEN,LILB,16,16,1,5,0,5,,0,3,1,0,2.5,,0,"PB,AP-2,AP DPoY-13"
Darryl Grant,24,WAS,RDT,16,16,0,0,0,0,,0,2,0,0,2.5,,0,
Johnnie Gray,30,GNB,SS,16,16,2,5,0,5,,2,1,0,0,0.0,,0,
Curtis Green,26,DET,LDE,16,16,0,0,0,0,,0,0,0,0,4.5,,0,
Darrell Green,23,WAS,LCB,16,16,2,7,0,7,,1,1,0,0,0.0,109,0,AP DRoY-2
Gary Green,28,KAN,LCB,16,16,6,59,0,25,,0,2,0,0,0.0,,0,PB
Jacob Green,26,SEA,LDE,16,16,1,73,1,73,,0,2,0,0,16.0,,0,
Mike Green,22,SDG,LILB,16,16,1,3,0,3,,0,0,0,0,1.0,,0,AP DRoY-11
Curtis Greer,26,STL,RDE,16,16,0,0,0,0,,0,1,5,0,16.0,,0,
Anthony Griggs,23,PHI,RILB,16,16,3,61,0,32,,0,0,0,0,1.0,,0,
Alvin Hall,25,DET,SS,16,16,2,18,0,18,,1,2,0,0,0.0,,0,
John Hannah,32,NWE,LG,16,16,0,0,0,0,,0,3,0,0,0.0,,0,"PB,AP-1"
Tom Hannon,28,MIN,SS,16,16,0,0,0,0,,0,2,17,0,0.5,,0,
Willie Harper,33,SFO,LOLB,16,16,1,37,0,37,,0,0,0,0,3.0,,0,
Franco Harris,33,PIT,FB,16,16,0,0,0,0,,10,0,0,0,0.0,,0,
John Harris,27,SEA,FS,16,16,2,15,0,10,,0,3,62,0,0.0,,0,
Dennis Harrison,27,PHI,LDE,16,16,0,0,0,0,,0,1,16,0,11.5,,0,
Mike Hartenstine,30,CHI,LDE,16,16,0,0,0,0,,0,1,10,1,12.0,,0,
Carter Hartwig,27,HOU,FS,16,16,0,0,0,0,,0,2,0,0,1.0,,0,
Lester Hayes,28,RAI,LCB,16,16,2,49,0,28,,0,0,0,0,0.0,,0,"PB,AP-2"
Mike Hegman,30,DAL,LLB,16,16,0,0,0,0,,0,1,9,1,1.0,,0,
Ted Hendricks,36,RAI,LOLB,16,16,0,0,0,0,,0,1,0,0,2.0,,0,"PB,AP DPoY-13"
Eric Hipple,26,DET,QB,16,16,0,0,0,0,,12,6,0,0,0.0,,0,
Jerry Holmes,26,NYJ,RCB,16,16,3,107,1,43,,0,1,3,0,0.0,,0,
John Holt,24,TAM,LCB/RCB,16,16,3,43,0,25,,1,1,0,0,1.0,,0,
Tom Howard,29,KAN,LOLB,16,16,0,0,0,0,,0,0,0,0,1.0,,0,
Tim Irwin,25,MIN,RT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Rickey Jackson,25,NOR,LOLB,16,16,1,0,0,0,,1,2,-2,0,12.0,102,0,PB
Robert Jackson,25,CIN,FS,16,16,2,21,0,15,,0,0,0,0,0.0,,0,
Roland James,25,NWE,SS,16,16,5,99,0,46,,0,4,0,0,2.0,,0,
Ron Jaworski,32,PHI,QB,16,16,0,0,0,0,,11,4,0,0,0.0,,0,
John Jefferson,27,GNB,WR,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Charlie Johnson,31,MIN,NT,16,16,1,2,0,2,,0,1,50,1,1.0,,0,
Dan Johnson,23,MIA,TE,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Dennis Johnson,25,MIN,RILB,16,16,0,0,0,0,,0,0,0,0,1.0,,0,
Ezra Johnson,28,GNB,RDE,16,16,0,0,0,0,,0,2,0,0,14.5,,0,
Gary Johnson,31,SDG,RDE,16,16,0,0,0,0,,0,2,0,0,3.0,,0,
