Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Robert Alexander,24,RAM,9,0,1,-7,-7.0,0,-7,0.1,-0.8,2,
Jerry Bell,23,TAM,9,1,1,5,5.0,0,5,0.1,0.6,0,
Curtis Bledsoe,25,KAN,3,0,1,5,5.0,0,5,0.3,1.7,2,
Cliff Chatman,23,NYG,6,3,1,13,13.0,0,13,0.2,2.2,0,
Garry Cobb,25,DET,6,6,1,25,25.0,0,25,0.2,4.2,0,
Russell Davis,26,PIT,7,0,1,11,11.0,0,11,0.1,1.6,0,
Danny Fulton,26,CLE,9,0,1,9,9.0,0,9,0.1,1.0,0,
Alvin Garrett,26,WAS,9,0,1,6,6.0,0,6,0.1,0.7,0,
Dennis Gentry,23,CHI,9,0,1,9,9.0,0,9,0.1,1.0,4,
Roland Harper,29,CHI,8,0,1,8,8.0,0,8,0.1,1.0,0,
Jim Haslett,27,BUF,7,5,1,4,4.0,0,4,0.1,0.6,0,
Jack Holmes,29,NOR,5,0,1,2,2.0,0,2,0.2,0.4,0,
Bill Hurley,25,NOR,9,0,1,39,39.0,1,39,0.1,4.3,0,
Wilbur Jackson,31,WAS,1,0,1,9,9.0,0,9,1.0,9.0,0,
Jim Jodat,28,SDG,7,0,1,0,0.0,0,,0.1,0.0,0,
Cedric Jones,22,NWE,2,0,1,5,5.0,0,5,0.5,2.5,0,
Barry Krauss,25,BAL,9,8,1,5,5.0,1,5,0.1,0.6,0,
Keith Krepfle,30,ATL,4,0,1,5,5.0,0,5,0.3,1.3,0,
Neil Lomax,23,STL,9,9,1,10,10.0,0,10,0.1,1.1,8,
Rob Lytle,28,DEN,9,0,1,10,10.0,0,10,0.1,1.1,0,
Robbie Martin,24,DET,9,0,1,18,18.0,0,18,0.1,2.0,3,
Willie McClendon,25,CHI,9,0,1,7,7.0,0,7,0.1,0.8,0,
Booker Moore,23,BUF,5,0,1,8,8.0,0,8,0.2,1.6,2,
Michael Morton,22,TAM,9,0,1,5,5.0,0,5,0.1,0.6,1,
Tom Newton,28,NYJ,9,0,1,7,7.0,0,7,0.1,0.8,0,
McDonald Oden,24,CLE,9,0,1,4,4.0,0,4,0.1,0.4,0,
Leon Perry,25,NYG,2,1,1,-1,-1.0,0,-1,0.5,-0.5,1,
Ray Pinney,28,PIT,9,9,1,3,3.0,1,3,0.1,0.3,0,
Danny Pittman,24,NYG,8,0,1,21,21.0,0,21,0.1,2.6,0,
Jay Saldi,28,DAL,5,0,1,8,8.0,0,8,0.2,1.6,0,
Lawrence Sampleton,23,PHI,9,0,1,24,24.0,0,24,0.1,2.7,0,
Rich Thomaselli,25,HOU,9,0,1,8,8.0,0,8,0.1,0.9,0,
Ken Thompson,24,STL,1,0,1,5,5.0,0,5,1.0,5.0,0,
Sidney Thornton,28,PIT,4,0,1,4,4.0,0,4,0.3,1.0,0,
Otis Wonsley,25,WAS,9,0,1,1,1.0,1,1,0.1,0.1,0,
David Woodley,24,MIA,9,9,1,15,15.0,1,15,0.1,1.7,2,
Johnnie Wright,24,BAL,7,0,1,12,12.0,0,12,0.1,1.7,0,
Jim Zorn,29,SEA,9,7,1,27,27.0,0,27,0.1,3.0,5,
Ken Anderson,33,CIN,9,9,0,0,,0,,0.0,0.0,1,PB
Marion Barber Jr.,23,NYJ,6,0,0,0,,0,,0.0,0.0,0,
Steve Bartkowski,30,ATL,9,9,0,0,,0,,0.0,0.0,7,
Ricky Bell,27,SDG,4,0,0,0,,0,,0.0,0.0,0,
Woody Bennett,27,MIA,1,0,0,0,,0,,0.0,0.0,0,
Terry Bradshaw,34,PIT,9,9,0,0,,0,,0.0,0.0,5,
Scott Brunner,25,NYG,9,9,0,0,,0,,0.0,0.0,5,
Matt Cavanaugh,26,NWE,7,3,0,0,,0,,0.0,0.0,1,
Greg Coleman,28,MIN,9,0,0,0,,0,,0.0,0.0,0,
Larry Cowan,22,MIA,2,0,0,0,,0,,0.0,0.0,0,
Steve Cox,24,CLE,9,0,0,0,,0,,0.0,0.0,0,
Nolan Cromwell,27,RAM,9,9,0,0,,0,,0.0,0.0,0,"PB,AP-1"
Dwayne Crutchfield,23,NYJ,6,0,0,0,,0,,0.0,0.0,1,
Sam Cunningham,32,NWE,6,2,0,0,,0,,0.0,0.0,0,
Gary Danielson,31,DET,8,5,0,0,,0,,0.0,0.0,6,
Johnny Davis,26,CLE,2,0,0,0,,0,,0.0,0.0,0,
Steve DeBerg,28,DEN,9,5,0,0,,0,,0.0,0.0,4,
Lynn Dickey,33,GNB,9,9,0,0,,0,,0.0,0.0,5,
Steve Dils,27,MIN,9,0,0,0,,0,,0.0,0.0,0,
Walt Easley,25,SFO,1,0,0,0,,0,,0.0,0.0,0,
Vince Evans,27,CHI,4,0,0,0,,0,,0.0,0.0,1,
Joe Ferguson,32,BUF,9,9,0,0,,0,,0.0,0.0,5,
Vagas Ferguson,25,NWE,2,0,0,0,,0,,0.0,0.0,0,
Vince Ferragamo,28,RAM,7,5,0,0,,0,,0.0,0.0,1,
Dan Fouts,31,SDG,9,9,0,0,,0,,0.0,0.0,2,"PB,AP-1,AP MVP-2,AP OPoY-1"
Steve Fuller,25,KAN,9,3,0,0,,0,,0.0,0.0,3,
Steve Grogan,29,NWE,6,6,0,0,,0,,0.0,0.0,2,
Ray Guy,33,RAI,9,0,0,0,,0,,0.0,0.0,0,
Mark Herrmann,23,DEN,2,1,0,0,,0,,0.0,0.0,1,
Eric Hipple,25,DET,9,4,0,0,,0,,0.0,0.0,1,
Gary Hogeboom,24,DAL,4,0,0,0,,0,,0.0,0.0,2,
Roland Hooks,29,BUF,6,0,0,0,,0,,0.0,0.0,0,
