Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Marcus Allen*+,RAI,22,RB,9,9,11,3,,,,,,14,,,,,,,,,84,9.3
Rolf Benirschke*,SDG,27,K,9,0,,,,,,,,,,,,32,34,16,22,,80,8.9
Wendell Tyler,RAM,27,RB,9,9,9,4,,,,,,13,,,,,,,,,78,8.7
Mark Moseley*+,WAS,34,K,9,0,,,,,,,,,,,,16,19,20,21,,76,8.4
Nick Lowery,KAN,26,K,9,0,,,,,,,,,,,,17,17,19,24,,74,8.2
Bill Capece,TAM,23,K,9,0,,,,,,,,,,,,14,14,18,23,,68,7.6
Jim Breech,CIN,26,K,9,0,,,,,,,,,,,,25,26,14,18,,67,7.4
Uwe von Schamann,MIA,26,K,9,0,,,,,,,,,,,,21,22,15,20,,66,7.3
Jan Stenerud,GNB,40,K,9,0,,,,,,,,,,,,25,27,13,18,,64,7.1
Chris Bahr,RAI,29,K,9,0,,,,,,,,,,,,32,33,10,16,,62,6.9
Eddie Lee Ivery,GNB,25,RB,9,9,9,1,,,,,,10,,,,,,,,,60,6.7
Pat Leahy,NYJ,31,K,9,0,,,,,,,,,,,,26,31,11,17,,59,6.6
Ray Wersching,SFO,32,K,9,0,,,,,,,,,,,,23,25,12,17,,59,6.6
Rafael Septien,DAL,29,K,9,0,,,,,,,,,,,,28,28,10,14,,58,6.4
Wes Chandler*+,SDG,26,WR,8,8,,9,,,,,,9,,,,,,,,,54,6.8
Joe Danelo,NYG,29,K,9,0,,,,,,,,,,,,18,18,12,21,,54,6.0
Wilbert Montgomery,PHI,28,RB,8,8,7,2,,,,,,9,,,,,,,,,54,6.8
Chuck Muncie*,SDG,29,RB,9,9,8,1,,,,,,9,,,,,,,,,54,6.0
Gary Anderson,PIT,23,K,9,0,,,,,,,,,,,,22,22,10,12,,52,5.8
Mick Luckhurst,ATL,24,K,9,0,,,,,,,,,,,,21,22,10,14,,51,5.7
Mike Lansford,RAM,24,K,9,0,,,,,,,,,,,,23,24,9,15,,50,5.6
Eddie Murray,DET,26,K,7,0,,,,,,,,,,,,16,16,11,12,,49,7.0
Charlie Brown*,WAS,24,WR,9,9,,8,,,,,,8,,,,,,,,,48,5.3
Rich Karlis,DEN,23,K,9,0,,,,,,,,,,,,15,16,11,13,,48,5.3
Jeff Moore,SFO,26,RB,9,4,4,4,,,,,,8,,,,,,,,,48,5.3
Rick Danmeier,MIN,30,K,9,0,,,,,,,,,,,,23,23,8,14,,47,5.2
Norm Johnson,SEA,22,K,9,0,,,,,,,,,,,,13,14,10,14,,43,4.8
William Andrews*,ATL,27,FB,9,9,5,2,,,,,,7,,,,,,,,,42,4.7
Andra Franklin*,MIA,23,FB,9,9,7,,,,,,,7,,,,,,,,,42,4.7
Pete Johnson,CIN,28,FB,9,9,7,,,,,,,7,,,,,,,,,42,4.7
Freeman McNeil*+,NYJ,23,RB,9,9,6,1,,,,,,7,,,,,,,,,42,4.7
John Stallworth*,PIT,30,WR,9,9,,7,,,,,,7,,,,,,,,,42,4.7
Tony Franklin,PHI,26,K,9,0,,,,,,,,,,,,23,25,6,9,,41,4.6
Neil O'Donoghue,STL,29,K,8,0,,,,,,,,,,,,15,16,8,13,,39,4.9
Bob Thomas,2TM,30,K,4,0,,,,,,,,,,,0,9,9,10,12,,39,9.8
Matt Bahr,CLE,26,K,9,0,,,,,,,,,,,,17,17,7,15,,38,4.2
