Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Earl Campbell,25,HOU,15,15,373,1934,13,55,5.2,128.9,24.9,4,"PB,AP-1,AP MVP-2,AP OPoY-1"
Walter Payton,27,CHI,16,16,317,1460,6,69,4.6,91.3,19.8,5,"PB,AP-1"
Billy Sims,25,DET,16,16,313,1303,13,52,4.2,81.4,19.6,12,"PB,AP-2,AP ORoY-1"
Joe Cribbs,22,BUF,16,16,306,1185,11,48,3.9,74.1,19.1,16,"PB,AP ORoY-2"
Ottis Anderson,23,STL,16,16,301,1352,9,52,4.5,84.5,18.8,5,"PB,AP-2"
Tony Dorsett,26,DAL,15,15,278,1185,11,56,4.3,79.0,18.5,8,
William Andrews,25,ATL,16,16,265,1308,4,33,4.9,81.8,16.6,6,PB
Mike Pruitt,26,CLE,16,16,249,1034,6,56,4.2,64.6,15.6,9,PB
Lynn Cain,25,ATL,16,16,235,914,8,37,3.9,57.1,14.7,6,
Mark van Eeghen,28,OAK,16,16,222,838,5,34,3.8,52.4,13.9,3,
Ted Brown,23,MIN,16,16,219,912,8,55,4.2,57.0,13.7,6,
Vagas Ferguson,23,NWE,16,16,211,818,2,44,3.9,51.1,13.2,3,
Franco Harris,30,PIT,13,13,208,789,4,26,3.8,60.7,16.0,7,PB
Ted McKnight,26,KAN,16,16,206,693,3,25,3.4,43.3,12.9,5,
Eddie Lee Ivery,23,GNB,16,16,202,831,3,38,4.1,51.9,12.6,3,
Don Calhoun,28,NWE,16,16,200,787,9,22,3.9,49.2,12.5,2,
Wilbert Montgomery,26,PHI,12,12,193,778,8,72,4.0,64.8,16.1,3,
Delvin Williams,29,MIA,15,10,187,671,2,65,3.6,44.7,12.5,5,
Pete Johnson,26,CIN,12,8,186,747,6,57,4.0,62.3,15.5,2,
Cullen Bryant,29,RAM,16,16,183,807,3,20,4.4,50.4,11.4,1,
Curtis Dickey,24,BAL,15,5,176,800,11,51,4.5,53.3,11.7,3,
Wilbur Jackson,29,WAS,16,14,176,708,3,55,4.0,44.3,11.0,10,
Chuck Muncie,27,2TM,15,8,175,827,6,53,4.7,55.1,11.7,11,
Chuck Muncie,27,NOR,4,3,40,168,2,24,4.2,42.0,10.0,1,
Chuck Muncie,27,SDG,11,5,135,659,4,53,4.9,59.9,12.3,10,
Ricky Bell,25,TAM,14,12,174,599,2,40,3.4,42.8,12.4,3,
Kenny King,23,OAK,15,13,172,761,4,89,4.4,50.7,11.5,6,PB
Earl Cooper,23,SFO,16,16,171,720,5,47,4.2,45.0,10.7,8,
Charles Alexander,23,CIN,16,16,169,702,2,37,4.2,43.9,10.6,2,
Elvis Peacock,24,RAM,13,9,164,777,7,36,4.7,59.8,12.6,1,
Scott Dierking,25,NYJ,16,13,156,567,6,15,3.6,35.4,9.8,3,
Jim Jodat,26,SEA,16,13,155,632,5,26,4.1,39.5,9.7,3,
Curtis Brown,26,BUF,16,16,153,559,3,34,3.7,34.9,9.6,4,
Jerry Eckwood,26,TAM,15,8,149,504,2,35,3.4,33.6,9.9,7,
Billy Taylor,24,NYG,11,10,147,580,4,35,3.9,52.7,13.4,4,
Dexter Bussey,28,DET,16,16,145,720,3,40,5.0,45.0,9.1,2,
