Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Deonte Harty*+,NOR,22,WR,14,1,36.0,338.0,1,53.0,9.4,24.0,644.0,0,51.0,26.8,1037
Kenjon Barner,ATL,30,RB,14,0,35.0,267.0,1,78.0,7.6,17.0,406.0,0,47.0,23.9,723
Richie James,SFO,24,WR,16,1,33.0,264.0,0,32.0,8.0,20.0,428.0,0,81.0,21.4,849
Tarik Cohen,CHI,24,RB,16,11,33.0,302.0,0,71.0,9.2,2.0,23.0,0,16.0,11.5,994
Andre Roberts*,BUF,31,WR,13,0,28.0,223.0,0,22.0,8.0,25.0,664.0,0,66.0,26.6,914
De'Anthony Thomas,2TM,26,RB,14,0,26.0,148.0,0,20.0,5.7,17.0,321.0,0,31.0,18.9,480
Diontae Spencer,DEN,27,WR,16,2,26.0,208.0,0,42.0,8.0,15.0,436.0,0,60.0,29.1,681
Alex Erickson,CIN,27,WR,16,6,25.0,157.0,0,17.0,6.3,4.0,79.0,0,26.0,19.8,798
Dede Westbrook,JAX,26,WR,15,11,23.0,132.0,0,43.0,5.7,,,0,,,819
Trevor Davis,3TM,26,WR,14,4,22.0,145.0,0,32.0,6.6,23.0,506.0,0,52.0,22.0,835
DeAndre Carter,HOU,26,WR,16,3,22.0,214.0,0,23.0,9.7,14.0,308.0,0,31.0,22.0,684
Desmond King,LAC,25,DB,15,8,21.0,118.0,1,68.0,5.6,16.0,331.0,0,43.0,20.7,462
Braxton Berrios,NYJ,24,WR,16,0,21.0,240.0,0,26.0,11.4,4.0,48.0,0,25.0,12.0,403
Diontae Johnson,PIT,23,WR,16,12,20.0,248.0,1,85.0,12.4,,,0,,,969
Gunner Olszewski,NWE,23,WR,8,0,20.0,179.0,0,22.0,9.0,,,0,,,213
Jamal Agnew,DET,24,DB,13,0,19.0,175.0,1,64.0,9.2,17.0,454.0,1,100.0,26.7,636
Jojo Natson,LAR,25,WR,12,0,19.0,149.0,0,35.0,7.8,13.0,289.0,0,30.0,22.2,438
Mecole Hardman*,KAN,21,WR,16,5,18.0,167.0,0,36.0,9.3,27.0,704.0,1,104.0,26.1,1426
Pharoh Cooper,2TM,24,WR,13,1,17.0,129.0,0,29.0,7.6,25.0,561.0,0,39.0,22.4,935
Tavon Austin,DAL,29,WR,14,0,17.0,84.0,0,15.0,4.9,,,0,,,308
Tyler Ervin,2TM,26,RB,10,0,16.0,115.0,0,18.0,7.2,11.0,267.0,0,45.0,24.3,403
Trey Quinn,WAS,24,WR,12,6,16.0,78.0,0,15.0,4.9,,,0,,,276
