Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Joe Flacco,24,BAL,QB,16,16,0,0,0,0,0,0,8,3,0,0,0.0,0,0,0,0,0,0,
London Fletcher,34,WAS,MLB,16,16,1,2,0,2,6,1,0,0,0,0,2.0,142,95,47,7,3,0,PB
Matt Forte,24,CHI,RB,16,16,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,
Domonique Foxworth,26,BAL,RCB,16,16,4,34,0,19,16,0,0,1,0,0,0.0,53,48,5,2,0,0,
Aubrayo Franklin,29,SFO,NT,16,16,1,10,0,10,3,0,0,0,0,0,2.0,36,25,11,7,2,0,
Chris Gamble,26,CAR,LCB,16,16,4,55,0,41,12,0,1,0,0,0,0.0,58,50,8,2,0,0,
David Garrard,31,JAX,QB,16,16,0,0,0,0,0,0,14,2,-4,0,0.0,0,0,0,0,0,0,PB
Antonio Gates,29,SDG,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Dashon Goldson,25,SFO,FS,16,16,4,39,0,34,6,3,0,1,0,0,2.0,94,76,18,1,2,0,
Andre' Goodman,31,DEN,RCB,16,16,5,65,0,30,17,0,0,1,30,1,1.0,44,40,4,1,3,0,
Jonathan Goodwin,31,NOR,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB
Charles Grant,31,NOR,LDE,16,16,0,0,0,0,2,1,0,0,0,0,5.5,44,31,13,6,12,0,
Deon Grant,30,SEA,SS,16,16,3,7,0,7,8,1,0,1,0,0,0.0,78,60,18,2,1,0,
Ryan Grant,27,GNB,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
Chad Greenway,26,MIN,LLB,16,16,3,49,0,36,6,1,1,3,0,0,0.0,99,80,19,3,2,0,
Cedric Griffin,27,MIN,RCB,16,16,4,-2,0,0,6,3,0,0,0,0,0.0,78,65,13,3,0,0,
Ben Grubbs,25,BAL,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Gary Guyton,24,NWE,RILB,16,16,0,0,0,0,3,0,0,0,0,0,1.5,85,55,30,1,11,0,
Mario Haggan,29,DEN,LOLB,16,16,0,0,0,0,1,3,0,0,0,0,1.0,64,52,12,9,4,0,
Tamba Hali,26,KAN,ROLB,16,16,0,0,0,0,1,4,0,0,0,0,8.5,63,48,15,9,11,1,
Leon Hall,25,CIN,RCB,16,16,6,47,0,26,24,2,0,0,0,0,0.0,71,58,13,0,0,0,AP-2
Casey Hampton,32,PIT,NT,16,16,0,0,0,0,0,0,0,0,0,0,2.5,43,23,20,7,5,0,PB
Parys Haralson,25,SFO,ROLB,16,16,0,0,0,0,2,0,0,1,0,0,5.0,45,33,12,12,16,0,
Roman Harper,27,NOR,SS,16,16,0,0,0,0,5,2,0,0,0,0,1.5,103,85,18,11,5,0,PB
David Harris,25,NYJ,RILB,16,16,2,24,0,14,3,2,0,0,0,0,5.5,127,82,45,4,13,0,AP-2
James Harrison,31,PIT,ROLB,16,16,0,0,0,0,2,5,0,2,0,0,10.0,79,60,19,14,14,0,"PB,AP-2"
Derrick Harvey,23,JAX,RDE,16,16,0,0,0,0,2,0,0,1,0,0,2.0,57,44,13,5,8,0,
Todd Heap,29,BAL,TE,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,,,0,
Mario Henderson,25,OAK,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
Tim Hightower,23,ARI,RB,16,16,0,0,0,0,0,0,5,0,-6,0,0.0,0,0,0,0,0,0,
Chris Hope,29,TEN,SS,16,16,3,24,0,24,7,1,0,0,0,0,2.0,81,67,14,3,3,0,
T.J. Houshmandzadeh,32,SEA,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Chris Hovan,31,TAM,RDT,16,16,0,0,0,0,0,0,0,0,0,0,0.5,33,26,7,3,3,0,
Bradie James,28,DAL,LILB,16,16,0,0,0,0,5,1,0,1,0,0,2.0,113,80,33,6,5,0,
Quentin Jammer,30,SDG,LCB,16,16,3,25,0,21,11,1,0,0,0,0,0.0,58,47,11,0,0,0,
Cullen Jenkins,28,GNB,RDE,16,16,1,4,0,4,1,3,0,0,0,0,4.5,32,23,9,8,11,0,
Andre Johnson,28,HOU,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1"
Chris Johnson,24,TEN,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-1"
Jarret Johnson,28,BAL,ROLB,16,16,2,8,0,8,4,1,0,0,0,0,6.0,50,36,14,9,9,0,
Johnny Jolly,26,GNB,LDE,16,16,1,2,0,2,10,0,0,2,0,0,1.0,40,25,15,4,7,0,
Dhani Jones,31,CIN,MLB,16,16,0,0,0,0,4,1,0,2,0,0,3.5,113,77,36,9,6,0,
Thomas Jones,31,NYJ,RB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,
Maurice Jones-Drew,24,JAX,RB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,PB
Johnathan Joseph,25,CIN,LCB,16,16,6,92,1,32,20,0,0,0,0,0,0.0,70,59,11,2,0,0,
Winston Justice,25,PHI,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Tommy Kelly,29,OAK,LDT,16,16,0,0,0,0,3,0,0,0,0,0,1.0,55,37,18,6,6,0,
Chris Kelsay,30,BUF,LDE,16,16,0,0,0,0,0,1,0,1,0,0,5.0,62,41,21,6,10,0,
Terrance Knighton,23,JAX,RDT,16,16,0,0,0,0,1,1,0,1,0,0,1.5,45,34,11,6,2,0,
Dan Koppen,30,NWE,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Olin Kreutz,32,CHI,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Dawan Landry,27,BAL,SS,16,16,4,89,1,48,8,1,0,0,0,0,0.0,89,70,19,5,0,0,
James Laurinaitis,23,STL,MLB,16,16,2,28,0,21,5,0,0,1,0,0,2.0,121,108,13,7,6,0,
Manny Lawson,25,SFO,LOLB,16,16,0,0,0,0,2,3,0,1,0,0,6.5,68,51,17,9,16,0,
Jim Leonhard,27,NYJ,SS,16,16,1,44,0,44,5,1,1,0,0,0,2.5,76,54,22,9,4,0,
Andy Levitre,23,BUF,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Damione Lewis,31,CAR,RDT,16,16,0,0,0,0,0,0,0,1,0,0,0.5,41,29,12,4,9,0,
Ray Lewis,34,BAL,RILB,16,16,0,9,0,9,8,2,0,1,1,0,3.0,134,95,39,10,7,0,"PB,AP-1"
Curtis Lofton,23,ATL,MLB,16,16,0,0,0,0,2,2,0,0,0,0,0.0,133,105,28,4,2,0,
Eli Manning,28,NYG,QB,16,16,0,0,0,0,0,0,13,1,0,0,0.0,0,0,0,0,0,0,
