Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
David Akers*,PHI,35,K,16,0,1,1,11,11,9,8,13,11,3,1,37,32,52,86.5%,45,43,95.6%,94,6117,11,11.7%,65.1
Mason Crosby,GNB,25,K,16,0,1,1,13,13,9,7,7,4,6,2,36,27,52,75.0%,49,48,98.0%,94,5805,12,12.8%,61.8
Jay Feely,NYJ,33,K,16,0,,,6,6,15,12,14,11,1,1,36,30,55,83.3%,32,32,100.0%,82,5378,10,12.2%,65.6
Nate Kaeding*+,SDG,27,K,16,0,2,2,17,17,4,4,8,6,4,3,35,32,55,91.4%,51,50,98.0%,97,6139,9,9.3%,63.3
Matt Prater,DEN,25,K,16,0,,,14,14,8,6,10,8,3,2,35,30,51,85.7%,32,32,100.0%,78,5304,28,35.9%,68.0
Rian Lindell,BUF,32,K,16,0,,,12,12,9,9,9,6,3,1,33,28,56,84.8%,24,24,100.0%,68,4277,6,8.8%,62.9
Lawrence Tynes,NYG,31,K,16,0,,,12,10,13,11,6,5,1,1,32,27,52,84.4%,45,45,100.0%,86,5343,6,7.0%,62.1
Kris Brown,HOU,33,K,16,0,,,13,11,9,6,6,2,4,2,32,21,56,65.6%,44,43,97.7%,82,5402,10,12.2%,65.9
Rob Bironas,TEN,31,K,16,0,,,8,8,6,4,12,10,6,5,32,27,53,84.4%,37,37,100.0%,81,5186,7,8.6%,64.0
Stephen Gostkowski,NWE,25,K,16,0,,,7,7,13,12,8,5,3,2,31,26,53,83.9%,47,47,100.0%,91,6096,21,23.1%,67.0
Jeff Reed,PIT,30,K,16,0,1,1,7,7,16,15,5,4,2,,31,27,46,87.1%,41,41,100.0%,81,4840,3,3.7%,59.8
Ryan Succop,KAN,23,K,16,0,,,10,10,7,7,7,6,5,2,29,25,53,86.2%,29,29,100.0%,72,4451,7,9.7%,61.8
Sebastian Janikowski,OAK,31,K,16,0,,,3,3,8,8,10,9,8,6,29,26,61,89.7%,17,17,100.0%,58,3797,17,29.3%,65.5
Ryan Longwell,MIN,35,K,16,0,1,1,10,10,6,5,9,8,2,2,28,26,52,92.9%,55,54,98.2%,98,6227,5,5.1%,63.5
Dan Carpenter*,MIA,24,K,16,0,,,9,9,8,7,9,8,2,1,28,25,52,89.3%,38,37,97.4%,79,4974,7,8.9%,63.0
Nick Folk,DAL,25,K,14,0,1,1,6,5,7,6,12,5,2,1,28,18,51,64.3%,36,36,100.0%,2,17,,,8.5
Robbie Gould,CHI,27,K,16,0,,,9,9,6,6,10,7,3,2,28,24,52,85.7%,33,33,100.0%,73,4747,8,11.0%,65.0
Josh Scobee,JAX,27,K,16,0,,,7,6,5,5,7,3,9,4,28,18,52,64.3%,31,30,96.8%,64,4222,17,26.6%,66.0
