Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Ka'imi Fairbairn,HOU,24,K,16,0,,,,,,,,,,,,39.0,41.0,37.0,42.0,,150,9.4
Justin Tucker+,BAL,29,K,16,0,,,,,,,,,,,,36.0,37.0,35.0,39.0,,141,8.8
Harrison Butker,KAN,23,K,16,0,,,,,,,,,,,,65.0,69.0,24.0,27.0,,137,8.6
Wil Lutz,NOR,24,K,16,0,,,,,,,,,,,,52.0,53.0,28.0,30.0,,136,8.5
Todd Gurley*+,LAR,24,RB,14,14,17.0,4.0,,,,,,21.0,3.0,,,,,,,,132,9.4
Stephen Gostkowski,NWE,34,K,16,0,,,,,,,,,,,,49.0,50.0,27.0,32.0,,130,8.1
Jason Myers*,NYJ,27,K,16,0,,,,,,,,,,,,30.0,33.0,33.0,36.0,,129,8.1
Aldrick Rosas*,NYG,24,K,16,0,,,,,,,,,,,,31.0,32.0,32.0,33.0,,127,7.9
Robbie Gould,SFO,36,K,16,0,,,,,,,,,,,,27.0,29.0,33.0,34.0,,126,7.9
Mason Crosby,GNB,34,K,16,0,,,,,,,,,,,,34.0,36.0,30.0,37.0,,124,7.8
Brett Maher,DAL,29,K,16,0,,,,,,,,,,,,32.0,33.0,29.0,36.0,,119,7.4
Greg Zuerlein,LAR,31,K,11,0,,,,,,,,,,,,35.0,36.0,27.0,31.0,,116,10.5
Sebastian Janikowski,SEA,40,K,16,0,,,,,,,,,,,,48.0,51.0,22.0,27.0,,114,7.1
Alvin Kamara*,NOR,23,RB,15,13,14.0,4.0,,,,,,18.0,3.0,,,,,,,,114,7.6
Matt Prater,DET,34,K,16,0,,,,,,,,,,,,30.0,30.0,28.0,32.0,,114,7.1
Adam Vinatieri,IND,46,K,16,0,,,,,,,,,,,,44.0,47.0,23.0,27.0,,113,7.1
Jake Elliott,PHI,23,K,16,0,,,,,,,,,,,,33.0,35.0,26.0,31.0,,111,6.9
Cody Parkey,CHI,26,K,16,0,,,,,,,,,,,,42.0,45.0,23.0,30.0,,111,6.9
Ryan Succop,TEN,32,K,16,0,,,,,,,,,,,,28.0,31.0,26.0,30.0,,106,6.6
Dustin Hopkins,WAS,28,K,16,0,,,,,,,,,,,,25.0,26.0,26.0,29.0,,103,6.4
Randy Bullock,CIN,29,K,16,0,,,,,,,,,,,,39.0,41.0,19.0,23.0,,96,6.0
Brandon McManus,DEN,27,K,16,0,,,,,,,,,,,,35.0,35.0,20.0,25.0,,95,5.9
Dan Bailey,MIN,30,K,14,0,,,,,,,,,,,,30.0,31.0,21.0,28.0,,93,6.6
Matt Bryant,ATL,43,K,13,0,,,,,,,,,,,,33.0,35.0,20.0,21.0,,93,7.2
Saquon Barkley*,NYG,21,RB,16,16,11.0,4.0,,,,,,15.0,1.0,,,,,,,,92,5.8
Stephen Hauschka,BUF,33,K,16,0,,,,,,,,,,,,25.0,26.0,22.0,28.0,,91,5.7
