Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Chris Boswell,PIT,33,K,14,0,,,9,9,11,11,8,7,13,11,41,38,57,92.7%,30,30,100.0%,80,5121,47,58.8%,64.0
Ka'imi Fairbairn,HOU,30,K,14,0,,,9,7,9,9,5,4,16,13,39,33,59,84.6%,31,31,100.0%,78,4797,41,52.6%,61.5
Brandon Aubrey,DAL,29,K,14,0,,,3,3,8,6,14,12,13,11,38,32,65,84.2%,26,26,100.0%,74,4481,34,45.9%,60.6
Younghoe Koo,ATL,30,K,14,0,,,7,7,7,5,11,7,9,6,34,25,58,73.5%,26,26,100.0%,15,969,5,33.3%,64.6
Cameron Dicker,LAC,24,K,15,0,1,1,7,7,5,5,10,9,10,9,33,31,59,93.9%,30,27,90.0%,77,4865,54,70.1%,63.2
Wil Lutz,DEN,30,K,15,0,,,2,2,12,11,11,11,7,5,32,29,55,90.6%,38,38,100.0%,82,5161,61,74.4%,62.9
Jason Sanders,MIA,29,K,14,0,,,5,5,10,10,5,3,12,10,32,28,57,87.5%,22,20,90.9%,69,4363,52,75.4%,63.2
Daniel Carlson,LVR,29,K,14,0,,,9,9,8,8,4,3,10,6,31,26,54,83.9%,20,19,95.0%,63,3801,35,55.6%,60.3
Austin Seibert,WAS,28,K,9,0,,,10,10,7,7,8,8,5,2,30,27,55,90.0%,24,22,91.7%,60,3678,14,23.3%,61.3
Joey Slye,NWE,28,K,14,0,,,6,5,11,10,5,3,8,5,30,23,63,76.7%,20,19,95.0%,58,3642,41,70.7%,62.8
Jake Moody,SFO,25,K,11,0,,,8,8,5,5,9,6,6,3,28,22,53,78.6%,23,23,100.0%,53,3343,39,73.6%,63.1
Justin Tucker,BAL,35,K,14,0,,,3,3,7,7,8,5,9,4,27,19,56,70.4%,49,47,95.9%,83,5320,61,73.5%,64.1
Chase McLaughlin,TAM,28,K,14,0,,,9,9,6,6,3,3,9,7,27,25,56,92.6%,44,42,95.5%,2,26,,,13.0
Matt Gay,IND,30,K,13,0,,,8,8,8,8,5,5,6,3,27,24,56,88.9%,23,23,100.0%,61,3919,50,82.0%,64.2
Tyler Bass,BUF,27,K,14,0,,,7,6,6,6,10,6,3,3,26,21,61,80.8%,54,50,92.6%,88,5588,66,75.0%,63.5
Jake Elliott,PHI,29,K,14,0,,,6,6,8,8,7,6,5,,26,20,49,76.9%,38,37,97.4%,1,65,1,100.0%,65.0
Joshua Karty,LAR,22,K,14,0,,,10,9,7,6,5,3,4,3,26,21,55,80.8%,32,29,90.6%,7,399,5,71.4%,57.0
Blake Grupe,NOR,26,K,14,0,,,4,4,7,6,7,6,8,6,26,22,57,84.6%,31,29,93.5%,69,4385,18,26.1%,63.6
Chad Ryland,ARI,25,K,10,0,,,5,5,10,10,9,5,2,2,26,22,57,84.6%,18,18,100.0%,49,3198,41,83.7%,65.3
Jason Myers,SEA,33,K,14,0,,,3,3,6,6,7,6,9,7,25,22,59,88.0%,34,31,91.2%,72,4622,37,51.4%,64.2
Dustin Hopkins,CLE,34,K,13,0,,,2,1,7,6,8,5,8,4,25,16,56,64.0%,18,16,88.9%,55,3463,32,58.2%,63.0
