Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Nick Folk,NYJ,30,K,16,0,,,13,13,7,7,13,9,6,3,39,32,55,82.1%,23,23,100.0%,69,4340,21,30.4%,62.9
Dan Carpenter,BUF,29,K,16,0,,,10,10,12,11,8,7,8,6,38,34,58,89.5%,32,31,96.9%,,,,,
Stephen Gostkowski*,NWE,30,K,16,0,1,1,11,11,11,10,13,12,1,1,37,35,53,94.6%,51,51,100.0%,99,6328,53,53.5%,63.9
Stephen Hauschka,SEA,29,K,16,0,,,10,10,10,10,13,9,4,2,37,31,58,83.8%,41,41,100.0%,88,5728,46,52.3%,65.1
Caleb Sturgis,MIA,25,K,16,0,1,1,12,12,8,7,10,6,6,3,37,29,53,78.4%,41,41,100.0%,85,5448,37,43.5%,64.1
Cody Parkey*,PHI,22,K,16,0,,,10,10,16,14,6,4,4,4,36,32,54,88.9%,54,54,100.0%,98,6401,46,46.9%,65.3
Randy Bullock,HOU,25,K,16,0,,,7,6,15,13,8,7,5,4,35,30,55,85.7%,40,40,100.0%,86,5613,40,46.5%,65.3
Graham Gano,CAR,27,K,16,0,,,7,7,14,13,11,8,3,1,35,29,53,82.9%,34,34,100.0%,79,5196,61,77.2%,65.8
Blair Walsh,MIN,24,K,16,0,2,2,5,4,10,8,9,7,9,5,35,26,55,74.3%,29,29,100.0%,76,4792,48,63.2%,63.1
Justin Tucker,BAL,25,K,16,0,,,10,10,11,11,4,4,9,4,34,29,55,85.3%,42,42,100.0%,88,5704,60,68.2%,64.8
Mason Crosby,GNB,30,K,16,0,,,7,7,11,10,8,6,7,4,33,27,55,81.8%,55,53,96.4%,102,6288,41,40.2%,61.6
Mike Nugent,CIN,32,K,16,0,,,6,6,12,10,12,10,3,,33,26,49,78.8%,39,39,100.0%,81,5316,37,45.7%,65.6
Chandler Catanzaro,ARI,23,K,16,0,,,5,5,14,12,11,10,3,2,33,29,51,87.9%,27,27,100.0%,76,5054,38,50.0%,66.5
Shaun Suisham,PIT,33,K,16,0,,,13,12,6,6,10,10,3,1,32,29,53,90.6%,45,45,100.0%,89,5552,32,36.0%,62.4
Matt Bryant,ATL,39,K,16,0,,,10,10,4,4,8,8,10,7,32,29,54,90.6%,40,40,100.0%,,,,,
Adam Vinatieri*+,IND,42,K,16,0,,,10,10,10,10,8,7,3,3,31,30,53,96.8%,50,50,100.0%,,,,,
Phil Dawson,SFO,39,K,16,0,,,6,6,9,8,7,5,9,6,31,25,55,80.6%,33,33,100.0%,73,4721,32,43.8%,64.7
Cairo Santos,KAN,23,K,16,0,1,1,10,10,6,5,11,8,2,1,30,25,53,83.3%,38,38,100.0%,80,5085,26,32.5%,63.6
Greg Zuerlein,STL,27,K,16,0,1,1,7,6,12,10,3,2,7,5,30,24,56,80.0%,35,34,97.1%,73,4862,38,52.1%,66.6
Dan Bailey,DAL,26,K,16,0,,,6,6,7,6,9,8,7,5,29,25,56,86.2%,56,56,100.0%,98,6175,52,53.1%,63.0
Billy Cundiff,CLE,34,K,13,0,,,6,6,13,10,7,5,3,1,29,22,52,75.9%,28,28,100.0%,63,4169,39,61.9%,66.2
Kai Forbath,WAS,27,K,16,0,,,11,11,7,6,8,7,1,,27,24,49,88.9%,32,31,96.9%,54,3309,18,33.3%,61.3
Josh Brown,NYG,35,K,16,0,1,1,7,6,9,9,5,4,4,4,26,24,53,92.3%,44,44,100.0%,82,5021,46,56.1%,61.2
Nick Novak,SDG,33,K,16,0,1,1,6,6,9,8,6,4,4,3,26,22,52,84.6%,40,40,100.0%,78,4751,10,12.8%,60.9
Josh Scobee,JAX,32,K,16,0,,,3,3,8,7,9,7,6,3,26,20,53,76.9%,23,23,100.0%,63,3819,37,58.7%,60.6
Matt Prater,DET,30,K,11,0,,,8,8,5,4,8,6,5,3,26,21,52,80.8%,21,21,100.0%,,,,,
Patrick Murray,TAM,23,K,16,0,,,3,2,8,7,7,6,6,5,24,20,55,83.3%,31,31,100.0%,,,,,
Shayne Graham,NOR,37,K,16,0,,,6,6,9,9,5,3,2,1,22,19,50,86.4%,47,46,97.9%,2,20,,,10.0
Sebastian Janikowski,OAK,36,K,16,0,,,2,2,6,5,9,9,5,3,22,19,57,86.4%,28,28,100.0%,61,3723,34,55.7%,61.0
Ryan Succop,TEN,28,K,16,0,,,5,5,7,7,8,5,2,2,22,19,51,86.4%,27,27,100.0%,63,3967,31,49.2%,63.0
Connor Barth,DEN,28,K,5,0,2,2,4,4,5,5,4,3,1,1,16,15,50,93.8%,15,15,100.0%,8,456,,,57.0
Brandon McManus,DEN,23,K,15,0,,,5,5,3,2,3,2,2,,13,9,44,69.2%,41,41,100.0%,91,5981,64,70.3%,65.7
Robbie Gould,CHI,32,K,12,0,,,4,4,3,2,4,3,1,,12,9,45,75.0%,29,28,96.6%,53,3179,21,39.6%,60.0
Nate Freese,DET,24,K,3,0,,,2,2,1,1,4,,,,7,3,30,42.9%,6,6,100.0%,,,,,
Alex Henery,DET,27,K,2,0,,,,,,,2,,3,1,5,1,51,20.0%,5,5,100.0%,,,,,
Jay Feely,CHI,38,K,4,0,,,1,1,1,1,2,1,,,4,3,48,75.0%,6,5,83.3%,14,580,3,21.4%,41.4
Garrett Hartley,CLE,28,K,2,0,,,,,2,2,1,1,,,3,3,43,100.0%,2,2,100.0%,2,123,,,61.5
Pat McAfee*+,IND,27,P,16,0,,,,,,,,,,,,,,,,,,99,6335,70,70.7%,64.0
Matthew Bosher,ATL,27,P,16,0,,,,,,,,,,,,,,,,,,83,5172,46,55.4%,62.3
Jordan Gay,BUF,24,P,16,0,,,,,,,,,,,,,,,,,,83,5222,49,59.0%,62.9
Thomas Morstead,NOR,28,P,16,0,,,,,,,,,,,,,,,,,,79,5238,40,50.6%,66.3
Sam Martin,DET,24,P,16,0,,,,,,,,,,,,,,,,,,75,4803,53,70.7%,64.0
Michael Koenen,TAM,32,P,16,0,,,,,,,,,,,,,,,,,,69,4429,31,44.9%,64.2
Tress Way,WAS,24,P,16,0,,,,,,,,,,,,,,,,,,18,1174,9,50.0%,65.2
Spencer Lanning,CLE,26,P,16,0,,,,,,,,,,,,,,,,,,6,387,1,16.7%,64.5
Ryan Quigley,NYJ,24,P,16,0,,,,,,,,,,,,,,,,,,5,315,,,63.0
Bryan Anger,JAX,26,P,16,0,,,,,,,,,,,,,,,,,,2,136,,,68.0
Johnny Hekker,STL,24,P,16,0,,,,,,,,,,,,,,,,,,2,30,,,15.0
Brett Kern,TEN,28,P,16,0,,,,,,,,,,,,,,,,,,2,119,,,59.5
Tim Masthay,GNB,27,P,16,0,,,,,,,,,,,,,,,,,,2,119,,,59.5
Colton Schmidt,BUF,24,P,16,0,,,,,,,,,,,,,,,,,,2,101,,,50.5
Dustin Colquitt,KAN,32,P,16,0,,,,,,,,,,,,,,,,,,1,71,,,71.0
Chris Jones,DAL,25,P,16,0,,,,,,,,,,,,,,,,,,1,57,,,57.0
Shane Lechler,HOU,38,P,16,0,,,,,,,,,,,,,,,,,,1,67,,,67.0
Jeff Locke,MIN,25,P,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0
Pat O'Donnell,CHI,23,P,16,0,,,,,,,,,,,,,,,,,,1,65,1,100.0%,65.0
Jon Ryan,SEA,33,P,16,0,,,,,,,,,,,,,,,,,,1,79,,,79.0
