Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Eric Dickerson,23,RAM,16,16,390,1808,18,85,4.6,113.0,24.4,13,"PB,AP-1,AP MVP-2,AP OPoY-2,AP ORoY-1"
John Riggins,34,WAS,15,15,375,1347,24,44,3.6,89.8,25.0,5,"AP-1,AP MVP-4,AP OPoY-4"
Curt Warner,22,SEA,16,16,335,1449,13,60,4.3,90.6,20.9,6,"PB,AP-2,AP OPoY-6,AP ORoY-3"
William Andrews,28,ATL,16,16,331,1567,7,27,4.7,97.9,20.7,6,PB
Earl Campbell,28,HOU,14,14,322,1301,12,42,4.0,92.9,23.0,4,PB
Walter Payton,30,CHI,16,16,314,1421,6,49,4.5,88.8,19.6,5,PB
Ottis Anderson,26,STL,15,15,296,1270,5,43,4.3,84.7,19.7,10,
Mike Pruitt,29,CLE,15,14,293,1184,10,27,4.0,78.9,19.5,4,
Tony Dorsett,29,DAL,16,16,289,1321,8,77,4.6,82.6,18.1,5,"PB,AP-2"
Franco Harris,33,PIT,16,16,279,1007,5,19,3.6,62.9,17.4,10,
Marcus Allen,23,RAI,16,15,266,1014,9,19,3.8,63.4,16.6,14,
Joe Cribbs,25,BUF,16,16,263,1131,3,45,4.3,70.7,16.4,6,PB
George Rogers,25,NOR,13,12,256,1144,5,76,4.5,88.0,19.7,8,
Curtis Dickey,27,BAL,16,16,254,1122,4,56,4.4,70.1,15.9,9,
Butch Woolfolk,23,NYG,16,16,246,857,4,22,3.5,53.6,15.4,8,
Chuck Muncie,30,SDG,15,12,235,886,12,34,3.8,59.1,15.7,8,
Andra Franklin,24,MIA,15,12,224,746,8,18,3.3,49.7,14.9,6,
Billy Sims,28,DET,13,12,220,1040,7,41,4.7,80.0,16.9,6,
Tony Collins,24,NWE,16,16,219,1049,10,50,4.8,65.6,13.7,10,PB
Pete Johnson,29,CIN,11,8,210,763,14,16,3.6,69.4,19.1,2,
Wayne Wilson,26,NOR,14,8,199,787,9,29,4.0,56.2,14.2,6,
Randy McMillan,25,BAL,16,16,198,802,5,39,4.1,50.1,12.4,5,
Sammy Winder,24,DEN,14,13,196,757,3,52,3.9,54.1,14.0,7,
Roger Craig,23,SFO,16,13,176,725,8,71,4.1,45.3,11.0,6,
Wendell Tyler,28,SFO,14,14,176,856,4,39,4.9,61.1,12.6,7,
Rob Carpenter,28,NYG,10,10,170,624,4,37,3.7,62.4,17.0,2,
James Wilder,25,TAM,10,10,161,640,4,75,4.0,64.0,16.1,1,
Freeman McNeil,24,NYJ,9,9,160,654,1,19,4.1,72.7,17.8,4,
Darrin Nelson,24,MIN,15,10,154,642,1,56,4.2,42.8,10.3,5,
Charles Alexander,26,CIN,14,14,153,523,3,12,3.4,37.4,10.9,1,
Billy Jackson,24,KAN,16,14,152,499,2,19,3.3,31.2,9.5,3,
Tony Nathan,27,MIA,16,12,151,685,3,40,4.5,42.8,9.4,2,
Ron Springs,27,DAL,16,14,149,541,7,19,3.6,33.8,9.3,3,
Matt Suhey,25,CHI,16,13,149,681,4,39,4.6,42.6,9.3,5,
Joe Washington,30,WAS,15,1,145,772,0,41,5.3,51.5,9.7,2,
Gerry Ellis,26,GNB,15,14,141,696,4,71,4.9,46.4,9.4,7,
Dwayne Crutchfield,24,2TM,13,8,140,578,3,17,4.1,44.5,10.8,2,
Dwayne Crutchfield,24,NYJ,11,8,137,571,3,17,4.2,51.9,12.5,2,
Dwayne Crutchfield,24,HOU,2,0,3,7,0,5,2.3,3.5,1.5,0,
James Jones,22,DET,14,14,135,475,6,18,3.5,33.9,9.6,4,
Frank Pollard,26,PIT,16,3,135,608,4,32,4.5,38.0,8.4,5,
Theotis Brown,26,2TM,15,9,130,481,8,49,3.7,32.1,8.7,4,
Theotis Brown,26,SEA,3,0,6,14,0,6,2.3,4.7,2.0,1,
Theotis Brown,26,KAN,12,9,124,467,8,49,3.8,38.9,10.3,3,
James Brooks,25,SDG,15,6,127,516,3,61,4.1,34.4,8.5,8,
Hubie Oliver,26,PHI,16,16,121,434,1,24,3.6,27.1,7.6,5,
Ted Brown,26,MIN,10,8,120,476,10,43,4.0,47.6,12.0,2,
