Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Joe Burrow,28,CIN,QB,14,14,6-8-0,361,527,68.5,3977,36,6.8,8,1.5,201,52.7,70,7.5,8.23,11.0,284.1,107.1,74.0,33,177,5.89,6.79,7.43,1,1,
Jared Goff,30,DET,QB,14,14,12-2-0,314,440,71.4,3759,30,6.8,10,2.3,191,53.6,70,8.5,8.88,12.0,268.5,110.4,65.7,26,196,5.58,7.65,7.97,4,4,
Geno Smith,34,SEA,QB,14,14,8-6-0,339,485,69.9,3623,14,2.9,13,2.7,172,48.1,71,7.5,6.84,10.7,258.8,89.9,52.0,43,296,8.14,6.30,5.72,3,3,
Baker Mayfield,29,TAM,QB,14,14,8-6-0,328,463,70.8,3617,32,6.9,14,3.0,182,53.2,57,7.8,7.83,11.0,258.4,104.1,56.0,33,206,6.65,6.88,6.90,1,1,
Lamar Jackson,27,BAL,QB,14,14,9-5-0,275,404,68.1,3580,34,8.4,3,0.7,167,51.3,84,8.9,10.21,13.0,255.7,120.7,76.0,21,137,4.94,8.10,9.38,2,2,
Sam Darnold,27,MIN,QB,14,14,12-2-0,288,426,67.6,3530,29,6.8,11,2.6,168,47.9,97,8.3,8.49,12.3,252.1,104.9,60.2,42,277,8.97,6.95,7.13,2,4,
Kirk Cousins,36,ATL,QB,14,14,7-7-0,303,453,66.9,3508,18,4.0,16,3.5,163,46.4,60,7.7,6.95,11.6,250.6,88.6,52.6,28,201,5.82,6.88,6.13,3,3,
Matthew Stafford,36,LAR,QB,14,14,8-6-0,309,466,66.3,3463,19,4.1,7,1.5,161,50.6,69,7.4,7.57,11.2,247.4,95.6,66.5,28,213,5.67,6.58,6.71,2,4,
Josh Allen,28,BUF,QB,14,14,11-3-0,275,427,64.4,3395,25,5.9,5,1.2,153,48.9,64,8.0,8.59,12.3,242.5,103.5,79.3,13,61,2.95,7.58,8.20,0,2,
Patrick Mahomes,29,KAN,QB,14,14,13-1-0,335,502,66.7,3348,22,4.4,11,2.2,184,49.5,54,6.7,6.56,10.0,239.1,91.0,64.4,35,230,6.52,5.81,5.70,5,7,
Aaron Rodgers,41,NYJ,QB,14,14,4-10-0,305,488,62.5,3255,23,4.7,8,1.6,161,43.5,71,6.7,6.88,10.7,232.5,90.8,53.7,32,249,6.15,5.78,5.97,2,3,
C.J. Stroud,23,HOU,QB,14,14,9-5-0,290,456,63.6,3248,17,3.7,9,2.0,162,43.3,67,7.1,6.98,11.2,232.0,89.0,49.9,45,354,8.98,5.78,5.65,1,2,
Justin Herbert,26,LAC,QB,15,15,9-6-0,278,430,64.7,3243,18,4.2,3,0.7,146,42.1,66,7.5,8.07,11.7,216.2,98.4,59.6,40,234,8.51,6.40,6.88,0,1,
Bo Nix,24,DEN,QB,15,15,9-6-0,326,507,64.3,3235,22,4.3,11,2.2,145,42.3,93,6.4,6.27,9.9,215.7,87.7,53.1,22,185,4.16,5.77,5.66,3,3,
