Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Nate Burleson,SEA,26,WR,16,12,58,658,1,94,11.3,27,590,1,91,21.9,1946
Michael Lewis,SFO,36,WR,13,0,44,336,0,51,7.6,5,86,0,24,17.2,422
Steve Breaston,ARI,24,WR,16,0,42,395,1,73,9.4,62,1391,0,59,22.4,1886
Devin Hester*+,CHI,25,PR,16,0,42,651,4,89,15.5,43,934,2,97,21.7,1874
R.W. McQuarters,NYG,31,DB,16,2,42,318,0,27,7.6,,,0,,,318
Allen Rossum,PIT,32,DB,15,0,36,232,0,49,6.4,38,885,1,98,23.3,1117
Antwaan Randle El,WAS,28,WR,15,13,34,209,0,27,6.1,1,17,0,17,17.0,951
Charles Woodson,GNB,31,LCB,14,14,33,268,0,34,8.1,,,0,,,373
Eddie Drummond,KAN,27,WR,12,0,32,222,0,22,6.9,37,785,0,39,21.2,1004
Chris Davis,TEN,23,WR,12,0,31,293,0,39,9.5,2,37,0,19,18.5,387
Reno Mahe,PHI,27,RB,15,0,31,249,0,32,8.0,1,19,0,19,19.0,279
Josh Cribbs*,CLE,24,WR,16,2,30,405,1,76,13.5,59,1809,2,100,30.7,2312
Ryne Robinson,CAR,23,WR,16,0,30,262,0,34,8.7,26,598,0,60,23.0,895
Adam Jennings,ATL,25,WR,16,2,30,186,0,23,6.2,17,428,0,61,25.2,676
Jacoby Jones,HOU,23,WR,14,3,30,286,0,74,9.5,4,78,0,0,19.5,517
Roscoe Parrish,BUF,25,WR,16,3,27,440,1,74,16.3,6,126,0,24,21.0,937
Dennis Northcutt,JAX,30,WR,15,11,26,240,0,37,9.2,,,0,,,868
Wes Welker,NWE,26,WR,16,13,25,249,0,35,10.0,7,176,0,33,25.1,1634
Ted Ginn Jr.,MIA,22,WR,16,9,24,230,1,87,9.6,63,1433,0,52,22.7,2077
Darren Sproles,SDG,24,RB,15,0,24,229,1,45,9.5,37,1008,1,89,27.2,1432
Patrick Crayton,DAL,28,WR,15,13,22,201,0,49,9.1,3,26,0,13,8.7,924
Leon Washington,NYJ,25,RB,16,4,20,183,0,33,9.2,47,1291,3,98,27.5,2040
Lance Moore,NOR,24,WR,16,4,20,185,0,48,9.3,17,318,0,32,18.7,812
Johnnie Lee Higgins,OAK,24,WR,16,2,20,103,0,54,5.2,,,0,,,153
