Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Ray-Ray McCloud,PIT,25,WR,16,5,38,367,0,23,9.7,35,776,0,40,22.2,1436
Demetric Felton,CLE,23,WR,16,2,32,227,0,24,7.1,9,172,0,28,19.1,604
Jalen Reagor,PHI,22,WR,17,13,31,227,0,39,7.3,12,255,0,44,21.3,833
Hunter Renfrow*,LVR,26,WR,17,9,31,303,0,41,9.8,,,0,,,1383
Chester Rogers,TEN,27,WR,16,2,30,293,0,55,9.8,14,282,0,37,20.1,938
Brandon Aiyuk,SFO,23,WR,17,16,29,208,0,27,7.2,,,0,,,1047
Devin Duvernay*+,BAL,24,WR,16,7,26,360,0,42,13.8,28,676,0,47,24.1,1360
Jakeem Grant*,2TM,29,WR,15,0,26,309,1,97,11.9,23,539,0,34,23.4,1013
Gunner Olszewski,NWE,25,WR,16,0,26,309,0,27,11.9,18,416,0,37,23.1,765
Diontae Spencer,DEN,29,WR,15,0,26,206,0,25,7.9,17,291,0,26,17.1,494
Darius Phillips,CIN,26,DB,12,0,25,177,0,17,7.1,8,169,0,32,21.1,346
Nyheim Hines,IND,25,RB,17,4,23,170,0,16,7.4,4,70,0,20,17.5,826
Alex Erickson,CAR,29,WR,17,0,23,204,0,22,8.9,2,57,0,39,28.5,316
Freddie Swain,SEA,23,WR,17,8,22,189,0,22,8.6,,,0,,,564
Dede Westbrook,MIN,28,WR,15,0,22,183,0,45,8.3,,,0,,,251
Deonte Harty,NOR,24,WR,13,1,21,199,0,26,9.5,29,690,0,39,23.8,1500
Rondale Moore,ARI,21,WR,14,7,21,171,0,27,8.1,13,291,0,32,22.4,973
Kalif Raymond,DET,27,WR,16,14,21,236,0,48,11.2,,,0,,,840
Andre Roberts,2TM,33,WR,16,0,20,99,0,15,5.0,37,1010,1,101,27.3,1163
Avery Williams,ATL,23,CB,15,1,20,153,0,23,7.7,23,490,0,38,21.3,643
Amari Rodgers,GNB,22,WR,16,1,20,166,0,23,8.3,11,199,0,27,18.1,421
Isaiah McKenzie,BUF,26,WR,15,2,19,147,0,26,7.7,24,584,0,75,24.3,960
Jaelon Darden,TAM,22,WR,9,0,19,142,0,43,7.5,18,359,0,34,19.9,555
Desmond King,HOU,27,LCB,16,12,17,154,0,20,9.1,1,27,0,27,27.0,206
DeAndre Carter,WAS,28,WR,17,6,16,134,0,16,8.4,36,904,1,101,25.1,1423
Braxton Berrios+,NYJ,26,WR,16,1,15,201,0,28,13.4,28,852,1,102,30.4,1524
Jaydon Mickens,2TM,27,WR,11,0,14,136,0,48,9.7,13,302,0,41,23.2,448
Marquez Stevenson,BUF,23,WR,5,0,14,132,0,19,9.4,7,165,0,31,23.6,306
CeeDee Lamb*,DAL,22,WR,16,13,14,139,0,21,9.9,,,0,,,1317
Mecole Hardman,KAN,23,WR,17,8,13,157,0,31,12.1,2,35,0,20,17.5,931
Jevon Holland,MIA,21,FS,16,13,12,92,0,16,7.7,,,0,,,95
Donovan Peoples-Jones,CLE,22,WR,14,9,12,95,0,20,7.9,,,0,,,692
Jamal Agnew,JAX,26,WR,10,2,11,74,0,14,6.7,22,525,1,102,23.9,939
Pharoh Cooper,NYG,26,WR,8,0,11,90,0,17,8.2,12,207,0,26,17.3,333
Cedrick Wilson Jr.,DAL,26,WR,16,4,11,36,0,14,3.3,,,0,,,649
Tutu Atwell,LAR,22,WR,8,0,10,54,0,17,5.4,5,87,0,25,17.4,141
Easop Winston,NOR,25,WR,3,1,10,119,0,34,11.9,,,0,,,124
Jabrill Peppers,NYG,26,DB,6,5,9,58,0,19,6.4,,,0,,,58
Trent Taylor,CIN,27,WR,4,0,7,52,0,12,7.4,4,68,0,25,17.0,161
Brandon Powell,LAR,26,WR,6,0,6,133,1,61,22.2,8,208,0,65,26.0,341
K.J. Hill,LAC,24,CB,6,0,6,41,0,12,6.8,3,50,0,18,16.7,121
Kenjon Barner,TAM,32,RB,3,0,6,47,0,20,7.8,,,0,,,47
Dazz Newsome,CHI,22,WR,3,1,6,75,0,28,12.5,,,0,,,98
Jaylen Waddle,MIA,23,WR,16,16,5,35,0,15,7.0,9,158,0,25,17.6,1211
Mike Hughes,KAN,24,DB,17,5,5,68,0,37,13.6,1,25,0,25,25.0,116
Micah Hyde,BUF,31,FS,17,17,4,37,0,17,9.3,,,0,,,112
K.J. Osborn,MIN,24,WR,17,9,4,23,0,11,5.8,,,0,,,688
Nsimba Webster,CHI,25,WR,6,0,4,13,0,6,3.3,,,0,,,13
Jojo Natson,CLE,27,WR,3,0,3,15,0,8,5.0,5,107,0,28,21.4,122
Greg Dortch,ARI,23,WR,5,2,3,24,0,17,8.0,4,79,0,31,19.8,142
Travis Benjamin,SFO,32,WR,10,0,3,47,0,22,15.7,2,24,0,12,12.0,71
Olamide Zaccheaus,ATL,24,WR,17,8,3,36,0,17,12.0,2,41,0,24,20.5,485
Tommylee Lewis,MIA,29,WR,2,0,3,4,0,5,1.3,1,23,0,23,23.0,34
Trenton Irwin,CIN,26,WR,7,0,3,31,0,15,10.3,,,0,,,65
Alvin Kamara*,NOR,26,RB,13,10,3,29,0,14,9.7,,,0,,,1366
David Moore,2TM,26,WR,3,0,3,33,0,21,11.0,,,0,,,33
C.J. Board,NYG,28,WR,6,1,2,33,0,26,16.5,11,273,0,38,24.8,369
J.J. Koski,LAR,25,WR,5,0,2,20,0,13,10.0,5,89,0,26,17.8,109
Giovani Bernard,TAM,30,RB,12,0,2,7,0,6,3.5,3,53,0,19,17.7,241
Greg Ward,PHI,26,WR,17,0,2,12,0,12,6.0,1,3,0,3,3.0,110
Tavon Austin,JAX,31,WR,13,3,2,3,0,3,1.5,,,0,,,237
Trevon Diggs*+,DAL,23,LCB,16,16,2,10,0,9,5.0,,,0,,,152
Kendall Hinton,DEN,24,WR,16,1,2,24,0,15,12.0,,,0,,,199
Dante Pettis,NYG,26,WR,3,0,2,0,0,0,0.0,,,0,,,87
Mohamed Sanu,SFO,32,WR,8,0,2,24,0,13,12.0,,,0,,,201
Cameron Sutton,PIT,26,RCB,16,16,2,3,0,3,1.5,,,0,,,7
Tremon Smith,HOU,25,DB,17,2,1,1,0,1,1.0,21,537,1,98,25.6,545
Keelan Cole,NYJ,28,WR,15,11,1,3,0,3,3.0,7,137,0,26,19.6,589
Malik Taylor,GNB,26,WR,10,0,1,0,0,0,0.0,5,97,0,32,19.4,111
Alex Bachman,NYG,25,WR,3,0,1,16,0,16,16.0,4,94,0,27,23.5,107
Cooper Kupp*+,LAR,28,WR,17,17,1,8,0,8,8.0,2,20,0,12,10.0,1993
D.J. Moore,CAR,24,WR,17,17,1,9,0,9,9.0,1,13,0,13,13.0,1228
Tyler Boyd,CIN,27,WR,16,10,1,1,0,1,1.0,,,0,,,851
Damiere Byrd,CHI,28,WR,17,4,1,0,0,0,0.0,,,0,,,329
Marquez Callaway,NOR,23,WR,17,11,1,2,0,2,2.0,,,0,,,700
Randall Cobb,GNB,31,WR,12,3,1,0,0,0,0.0,,,0,,,376
N'Keal Harry,NWE,24,WR,12,4,1,0,0,0,0.0,,,0,,,184
Jerry Jacobs,DET,24,LCB,13,9,1,0,0,0,0.0,,,0,,,0
Christian Kirk,ARI,25,WR,17,11,1,-5,0,0,-5.0,,,0,,,988
Nick Kwiatkoski,LVR,28,LB,8,0,1,6,0,6,6.0,,,0,,,6
Tyler Lockett,SEA,29,WR,16,16,1,3,0,3,3.0,,,0,,,1187
Jakobi Meyers,NWE,25,WR,17,16,1,7,0,7,7.0,,,0,,,882
Christopher Milton,MIA,29,DB,1,0,1,0,0,0,0.0,,,0,,,0
Byron Murphy,ARI,23,LCB,16,16,1,48,0,48,48.0,,,0,,,97
Demarcus Robinson,KAN,27,WR,17,10,1,3,0,3,3.0,,,0,,,267
Kadarius Toney,NYG,22,WR,10,4,1,0,0,0,0.0,,,0,,,418
Javin White,2TM,24,LB,2,0,1,2,0,2,2.0,,,0,,,2
Nahshon Wright,DAL,23,DB,13,1,1,0,0,0,0.0,,,0,,,0
DeeJay Dallas,SEA,23,RB,17,0,,,0,,,33,764,0,40,23.2,1035
Ameer Abdullah,2TM,28,RB,17,1,,,0,,,29,646,0,45,22.3,1101
Godwin Igwebuike,DET,27,RB,17,1,,,0,,,28,697,0,47,24.9,875
Khalil Herbert,CHI,23,RB,17,2,,,0,,,27,650,0,50,24.1,1179
Byron Pringle,KAN,28,WR,17,5,,,0,,,25,621,0,39,24.8,1189
Isaiah Rodgers,IND,23,CB,17,1,,,0,,,19,501,0,72,26.4,525
Kene Nwangwu,MIN,23,RB,11,0,,,0,,,18,579,2,99,32.2,649
Cordarrelle Patterson,ATL,30,RB,16,13,,,0,,,18,434,0,32,24.1,1609
Tony Pollard,DAL,24,RB,15,0,,,0,,,17,489,1,100,28.8,1545
Trenton Cannon,2TM,27,RB,12,0,,,0,,,16,328,0,68,20.5,334
Anthony Schwartz,CLE,21,WR,14,2,,,0,,,15,322,0,35,21.5,496
